smiles1,smiles2,label
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,C1CN2CC3=CC4=C(C=C3[C@H]5[C@H]2C1=C[C@@H]([C@H]5O)O)OCO4,1
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,1
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,C[C@]12CC[C@](C[C@@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)[O-])O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)[O-])O)O)O)C)(C)C(=O)O.[Mg+2],1
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CC1=NC=C(N1CCO)[N+](=O)[O-],1
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,1
C1=CC=C2C(=C1)C(=NN2CC3=C(C=C(C=C3)Cl)Cl)C(=O)O,C1=CC(=NC=C1C(=O)N)N,1
C[C@H]([C@H]1C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)NC(=O)[C@@H](CC5=CC=CC=C5)N)C(=O)N[C@H](CO)[C@@H](C)O)O,CN(C)C(=N)NC(=N)N,1
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CN1C=NC2=C1C(=O)NC(=O)N2C,1
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CC1=NC(=C(C)N=C1C)C,1
C[C@H]1CC[C@]2(C[C@@H]3C[C@H](O2)C/C=C(/C[C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)\C)O[C@@H]1C,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,1
C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,C1CCN[C@H](C1)[C@H](C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O.Cl,1
COCC(=O)NC1=C(C=CC(=C1)SC2=CC=CC=C2)N=C(NC(=O)OC)NC(=O)OC,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,1
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,1
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CC1=C(C=C(C=C1)C(C)C)O,1
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CC1=CC(=C(C=C1)C(C)C)O,1
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,1
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,1
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CN(C)C(=N)NC(=N)N,1
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,1
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,1
