smiles1,smiles2,label
COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,1
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,C=CCSS(=O)CC=C,1
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,[Na+].[O-][As]=O,1
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CN1C2=C(C=CC(=C2)OC)C(=O)C3=C(C1=O)C=CC(=C3)OC,1
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,OC(C1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F,1
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,1
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CN(C)C(=N)NC(=N)N,1
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,FC1=CNC(=O)NC1=O,1
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,OC1=CC(=CC(=C1OC2=CC(=C(C=C2C(=O)O)O)O)O)O,1
OC(=O)C1=N[N](CC2=C(Cl)C=C(Cl)C=C2)C3=CC=CC=C13,NC(=O)C1=CC=C(N)N=C1,1
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)OC)OC,1
C[C@@]1(CCCN1)C1=NC2=CC=CC(C(N)=O)=C2N1,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,1
COC(=O)Nc1nc2cc(C(=O)c3ccc(F)cc3)ccc2[nH]1,[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@]4([H])C[C@@]([H])(C[C@]5(CC[C@H](C)[C@]([H])(O5)C(C)C)O4)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O.[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@]4([H])C[C@@]([H])(C[C@]5(CC[C@H](C)[C@]([H])(O5)[C@@H](C)CC)O4)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O,1
COC(=O)Nc1nc2cc(C(=O)c3ccc(F)cc3)ccc2[nH]1,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,1
COC(=O)Nc1nc2cc(Sc3ccccc3)ccc2[nH]1,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,1
COCC(=O)NC1=C(C=CC(=C1)SC2=CC=CC=C2)N=C(NC(=O)OC)NC(=O)OC,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,1
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,1
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CC1=CC(=C(C=C1)C(C)C)O,1
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CC1CCC2C(C)C(OC3OC4(C)CCC1C23OO4)OC(=O)CCC(O)=O,1
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,COC1=CC2=C(C=C1)C3=CC=NC(=C3[NH]2)C,1
COC(=O)Nc1nc2cc(C(=O)c3ccc(F)cc3)ccc2[nH]1,CCC(C)C1OC2(CCC1C)CC3CC(C\C=C(C)\C(OC4CC(OC)C(OC5CC(OC)C(O)C(C)O5)C(C)O4)C(C)\C=C\C=C\6COC7C(O)C(=CC(C(=O)O3)C67O)C)O2,1
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CCC(C)C1OC2(CCC1C)CC3CC(C\C=C(C)\C(OC4CC(OC)C(OC5CC(OC)C(O)C(C)O5)C(C)O4)C(C)\C=C\C=C\6COC7C(O)C(=CC(C(=O)O3)C67O)C)O2,1
