id1,id2
PRSS21,SERPINB5
EEF1A1,MDM2
EEF1A1,TTLL12
EEF1A1,ZBTB16
EEF1A1,PCNA
EEF1A1,YWHAZ
EEF1A1,GADD45G
EEF1A1,LAMTOR5
EEF1A1,MAPK14
EEF1A1,SPHK1
EEF1A1,BBS1
EEF1A1,ZDHHC17
SP7,GAS8
SP7,QARS1
SP7,TRIM62
SP7,NFIA
SP7,NFIB
SP7,NFIC
SP7,GSK3B
HLA-DRB1,HLA-DRA
HLA-DMA,HLA-DMB
HLA-DMA,HLA-DRA
HLA-DMA,HLA-DOA
HLA-DMA,HLA-DOB
WDFY2,ARL6IP1
WDFY2,RPRM
WDFY2,SYP
WDFY2,YIF1A
MAEA,ARMC8
MAEA,CCDC51
MAEA,DDX5
MAEA,EFHC2
MAEA,GID4
MAEA,GID8
MAEA,HTRA2
MAEA,MKLN1
MAEA,RANBP10
MAEA,RANBP9
MAEA,RMND5B
MAEA,WDR26
CD4,LCK
CD4,CCR5
CD4,SH3GLB1
GSTA2,GSTA4
GSTA2,GSTA5
FOXP3,PRR20E
FOXP3,RBPMS
FOXP3,STUB1
FOXP3,PRR20D
FOXP3,FOSB
FOXP3,KRTAP3-3
FOXP3,KRTAP6-2
FOXP3,KRTAP8-1
FOXP3,PRR20C
FOXP3,IKZF3
FOXP3,USP44
RRAGB,RRAGC
RRAGB,RRAGD
RRAGB,SLC38A9
EEF1B2,EEF1G
EEF1B2,HTT
EEF1B2,EEF1A2
EEF1B2,SPRYD4
SMAD9,SMAD4
SMAD9,KDM1A
SMAD9,PRMT6
PTDSS1,STOM
CHD1,PTDSS1
AVPR2,COMT
AVPR2,SLC41A1
MED28,FYN
MED28,LCK
MED28,GRB2
MED28,MED30
MED28,PUF60
MED28,SRC
MED28,MED10
MED28,NF2
MED28,CDK19
MED28,MED17
MED28,MED29
MED28,CBY2
MED28,HTT
MED28,MIIP
MED28,NDRG1
MED28,SUOX
MED28,YES1
MED28,PRMT6
ACOT13,KAT5
ACOT13,MYDGF
ACOT13,NTAQ1
ACOT13,SPG21
ACOT13,YWHAG
SCAI,CDIPT
SCAI,ITPKB
SCAI,PIN1
SCAI,SOX7
BOC,IHH
BOC,DHH
WDR11,EMX1
NOL3,SPRED1
NOL3,UBQLN2
NOL3,TP53
NOL3,CASP8
NOL3,TINF2
AKAP13,YWHAB
AKAP13,YWHAG
AKAP13,ESR1
AKAP13,YWHAZ
AKAP13,TGM2
UBR5,PAIP2
UBR5,GSK3B
UBR5,DISC1
UBR5,CTNNB1
PRDX6,PCNA
PRDX6,ARFGAP3
PRDX6,PSMD8
PRDX6,TERF1
PRDX6,COX15
PRDX6,DLD
PRDX6,VDAC1
PRRC2A,GRB2
PRRC2A,JUN
PRRC2A,ATXN1
TSPO,CREB3L1
TSPO,AMIGO1
TSPO,CLEC10A
TSPO,FAM209A
TSPO,ICAM3
TSPO,KCNF1
TSPO,LEUTX
TSPO,LHFPL5
TSPO,LYPD5
TSPO,NCR3LG1
TSPO,PVR
TSPO,TMEM14B
TSPO,TMEM9
TP53,NOL3
PCNA,EEF1A1
PCNA,PRDX6
TUBB4B,LRRK2
HTT,EEF1B2
HTT,MED28
